"Time","cluster","type","Value"
1700784000000,cloudone-dev-v1-eks-cluster,CPU,2.760752191746011
1700870400000,cloudone-dev-v1-eks-cluster,CPU,6.868021831808307
1700956800000,cloudone-dev-v1-eks-cluster,CPU,10.927512052332458
1701043200000,cloudone-dev-v1-eks-cluster,CPU,14.94908634553127
1701129600000,cloudone-dev-v1-eks-cluster,CPU,19.036185211953306
1701216000000,cloudone-dev-v1-eks-cluster,CPU,23.49104692946321
1701302400000,cloudone-dev-v1-eks-cluster,CPU,28.27160039383716
1700784000000,cloudone-dev-v1-eks-cluster,PV,0.27252088593271423
1700870400000,cloudone-dev-v1-eks-cluster,PV,0.6813022148317852
1700956800000,cloudone-dev-v1-eks-cluster,PV,1.0900835437308567
1701043200000,cloudone-dev-v1-eks-cluster,PV,1.498864872629928
1701129600000,cloudone-dev-v1-eks-cluster,PV,1.907646201528999
1701216000000,cloudone-dev-v1-eks-cluster,PV,2.3164275304280704
1701302400000,cloudone-dev-v1-eks-cluster,PV,2.725208859327142
1700784000000,cloudone-dev-v1-eks-cluster,RAM,1.473940627470807
1700870400000,cloudone-dev-v1-eks-cluster,RAM,3.7237680892715725
1700956800000,cloudone-dev-v1-eks-cluster,RAM,5.961133370421511
1701043200000,cloudone-dev-v1-eks-cluster,RAM,8.201174148891907
1701129600000,cloudone-dev-v1-eks-cluster,RAM,10.443511571739636
1701216000000,cloudone-dev-v1-eks-cluster,RAM,12.57662871096027
1701302400000,cloudone-dev-v1-eks-cluster,RAM,14.716776068844098

