"Time","namespace","Value"
1700784000000,argo-rollouts,0.0035285674884869447
1700870400000,argo-rollouts,0.009054829510408072
1700956800000,argo-rollouts,0.01453853133960655
1701043200000,argo-rollouts,0.020156662994771025
1701129600000,argo-rollouts,0.02579847124597739
1701216000000,argo-rollouts,0.031041550712100005
1701302400000,argo-rollouts,0.03662241494041542
1700784000000,castai-agent,0.07889938991519031
1700870400000,castai-agent,0.19726513234025647
1700956800000,castai-agent,0.31558789104337914
1701043200000,castai-agent,0.4339175027761184
1701129600000,castai-agent,0.5522630790452607
1701216000000,castai-agent,0.6705872446964577
1701302400000,castai-agent,0.7124956477721454
1700784000000,consul,0.027424499230941753
1700870400000,consul,0.06899871606554336
1700956800000,consul,0.11049319814022047
1701043200000,consul,0.15228188177441915
1701129600000,consul,0.19364964436210863
1701216000000,consul,0.23517785983640974
1701302400000,consul,0.27691522465197876
1700784000000,dev-portal,0.01227125841455462
1700870400000,dev-portal,0.03064849528469646
1700956800000,dev-portal,0.048049997730617966
1701043200000,dev-portal,0.06607860530161273
1701129600000,dev-portal,0.08538507460786039
1701216000000,dev-portal,0.08962820923708945
1701302400000,dev-portal,0.09313469173980014
1700784000000,dev-spaceone,0.04382062287101752
1700870400000,dev-spaceone,0.1279932077951494
1700956800000,dev-spaceone,0.2223444258606614
1701043200000,dev-spaceone,0.31684155385522755
1701129600000,dev-spaceone,0.4121154034230261
1701216000000,dev-spaceone,0.5071572347000384
1701302400000,dev-spaceone,0.6030702650654666
1700784000000,dev-supervisor,0.05440685552508124
1700870400000,dev-supervisor,0.18187399466786838
1700956800000,dev-supervisor,0.3056603169892037
1701043200000,dev-supervisor,0.41869084041291127
1701129600000,dev-supervisor,0.5418429033011799
1701216000000,dev-supervisor,0.6648152293218743
1701302400000,dev-supervisor,0.7933132488987081
1700784000000,dev2-spaceone,0.0038753945077734564
1700870400000,dev2-spaceone,0.010739267445162032
1700956800000,dev2-spaceone,0.017312221381439147
1701043200000,dev2-spaceone,0.023874197463999727
1701129600000,dev2-spaceone,0.030836860191187542
1701216000000,dev2-spaceone,0.03783695701635825
1701302400000,dev2-spaceone,0.045230257142552875
1700784000000,docs,0.010088404990167265
1700870400000,docs,0.025718755272621307
1700956800000,docs,0.04140464760791824
1701043200000,docs,0.05882650993384449
1701129600000,docs,0.06862681385644588
1701216000000,docs,0.06864929280561927
1701302400000,docs,0.06867395636350956
1700784000000,keycloak,0.2112810948609925
1700870400000,keycloak,0.5292791011785748
1700956800000,keycloak,0.8439715238874371
1701043200000,keycloak,1.1592699577552878
1701129600000,keycloak,1.4745669086714863
1701216000000,keycloak,1.7923850388939933
1701302400000,keycloak,2.1102146307908543
1700784000000,kube-system,0.5354306160490676
1700870400000,kube-system,1.3398107370955892
1700956800000,kube-system,2.144066486405056
1701043200000,kube-system,2.9479533204611155
1701129600000,kube-system,3.7521416835359154
1701216000000,kube-system,4.55542491415502
1701302400000,kube-system,5.361133539498899
1700784000000,monitoring,0.012286277176181104
1700870400000,monitoring,0.030516365949709866
1700956800000,monitoring,0.04754931836195037
1701043200000,monitoring,0.06562490991058412
1701129600000,monitoring,0.08379065892663151
1701216000000,monitoring,0.10236725457066695
1701302400000,monitoring,0.12275828627856172
1700784000000,newrelic,1.4712700488385564
1700870400000,newrelic,3.686004870381046
1700956800000,newrelic,5.906767637728588
1701043200000,newrelic,8.123201323568464
1701129600000,newrelic,10.343166759396016
1701216000000,newrelic,12.564196300999319
1701302400000,newrelic,14.795060068444439
1700784000000,prometheus,0.7775908360346298
1700870400000,prometheus,1.967887351492938
1700956800000,prometheus,3.1295531006574526
1701043200000,prometheus,4.319039013124706
1701129600000,prometheus,5.499668712808278
1701216000000,prometheus,6.670674380109395
1701302400000,prometheus,7.898746934455973
1700784000000,px-operator,0.000060804300686405465
1700870400000,px-operator,0.00015982804317990728
1700956800000,px-operator,0.00025717596769524577
1701043200000,px-operator,0.00035772701157722254
1701129600000,px-operator,0.0004551568766695337
1701216000000,px-operator,0.0005506018492049416
1701302400000,px-operator,0.0006465367123837176
1700784000000,sp1-agent,0.005543933396387823
1700870400000,sp1-agent,0.013621291358729202
1700956800000,sp1-agent,0.021595053723776802
1701043200000,sp1-agent,0.029911174942869528
1701129600000,sp1-agent,0.0387353587880342
1701216000000,sp1-agent,0.046998841126252036
1701302400000,sp1-agent,0.05572317310592596
1700784000000,spacectl,0.00013632737693542073
1700870400000,spacectl,0.0003423840536828239
1700956800000,spacectl,0.0005534956456089119
1701043200000,spacectl,0.0007621013346488204
1701129600000,spacectl,0.0009732140567475534
1701216000000,spacectl,0.0011769043659294886
1701302400000,spacectl,0.0013830495880296108
1700784000000,spinnaker,0.9762313487738549
1700870400000,spinnaker,2.345509244478945
1700956800000,spinnaker,3.6767542424180992
1701043200000,spinnaker,4.955467244736279
1701129600000,spinnaker,6.301854304335944
1701216000000,spinnaker,7.939362240564069
1701302400000,spinnaker,9.907789142568458
1700784000000,velero,0.2830674253990285
1700870400000,velero,0.7076685634975711
1700956800000,velero,1.132269701596114
1701043200000,velero,1.5568708396946564
1701129600000,velero,1.9814719777931988
1701216000000,velero,2.4060731158917417
1701302400000,velero,2.8306742539902845

